Date,Open,High,Low,Close,Volume,Adj Close
7/11/2014,196.22,196.75,195.78,196.61,63448200,196.61
7/10/2014,195.22,196.86,195.06,196.34,99007900,196.34
7/9/2014,196.73,197.3,196.31,197.12,72953600,197.12
7/8/2014,197.15,197.22,195.76,196.24,108052100,196.24
7/7/2014,197.82,197.98,197.22,197.51,61637100,197.51
7/3/2014,197.79,198.29,197.64,198.2,52938800,198.2
7/2/2014,197.05,197.48,196.96,197.23,52334800,197.23
7/1/2014,196.2,197.63,196.13,197.03,90321700,197.03
6/30/2014,195.7,196.17,195.53,195.72,70201200,195.72
6/27/2014,194.98,195.88,194.89,195.82,71445100,195.82
6/26/2014,195.61,195.63,194.13,195.44,84312000,195.44
6/25/2014,194.29,195.78,194.25,195.58,82728200,195.58
6/24/2014,195.53,196.5,194.48,194.7,96083100,194.7
6/23/2014,195.99,196.05,195.52,195.88,70525700,195.88
6/20/2014,196.03,196.1,195.7,195.94,100475000,195.94
6/19/2014,196.43,196.6,195.8,196.48,85929000,195.54
6/18/2014,194.83,196.37,194.4,196.26,105267000,195.32
6/17/2014,194.02,194.97,193.81,194.83,84834000,193.9
6/16/2014,193.89,194.7,193.66,194.29,87424000,193.36
6/13/2014,193.92,194.32,193.3,194.13,82017000,193.2
6/12/2014,194.69,194.8,193.11,193.54,106350000,192.62
6/11/2014,194.9,195.12,194.48,194.92,68772000,193.99
6/10/2014,195.34,195.64,194.92,195.6,57129000,194.67
6/9/2014,195.35,196.05,195.17,195.58,65119000,194.65
6/6/2014,194.87,195.43,194.78,195.38,78696000,194.45
6/5/2014,193.41,194.65,192.7,194.45,92103000,193.52
6/4/2014,192.47,193.3,192.27,193.19,55529000,192.27
6/3/2014,192.43,192.9,192.25,192.8,65047000,191.88
6/2/2014,192.95,192.99,191.97,192.9,64656000,191.98
5/30/2014,192.19,192.8,192.03,192.68,76316000,191.76
5/29/2014,191.82,192.4,191.33,192.37,64377000,191.45
5/28/2014,191.52,191.82,191.06,191.38,66723000,190.47
5/27/2014,191.06,191.58,190.95,191.52,72010000,190.61
5/23/2014,189.76,190.48,189.59,190.35,61092800,189.44
5/22/2014,189.18,189.98,188.86,189.59,61549000,188.69
5/21/2014,188.09,189.22,188.06,189.13,89093000,188.23
5/20/2014,188.65,188.67,187.07,187.55,111644000,186.66
5/19/2014,187.69,188.89,187.52,188.74,63839000,187.84
5/16/2014,187.51,188.13,186.72,188.05,97458000,187.15
5/15/2014,188.68,188.72,186.48,187.4,154956000,186.51
5/14/2014,189.79,189.88,188.79,189.06,72367000,188.16
5/13/2014,190.04,190.42,189.77,189.96,66454000,189.05
5/12/2014,188.8,189.88,188,189.79,86940000,188.88
5/9/2014,187.71,188.04,186.83,187.96,83679000,187.06
5/8/2014,187.71,189.05,187.08,187.68,93618000,186.78
5/7/2014,187.41,187.97,186.01,187.88,106500000,186.98
5/6/2014,188,188.13,186.74,186.78,85454000,185.89
5/5/2014,187.14,188.55,186.62,188.42,75883000,187.52
5/2/2014,188.31,189.14,187.78,188.06,98122000,187.16
5/1/2014,188.22,188.84,187.73,188.33,93019000,187.43
4/30/2014,187.44,188.5,187.18,188.31,101508000,187.41
4/29/2014,187.48,188.04,187.08,187.75,84098000,186.85
4/28/2014,187.05,187.69,184.96,186.88,135121000,185.99
4/25/2014,187.22,187.33,185.87,186.29,100380000,185.4
4/24/2014,188.37,188.39,186.93,187.83,88170000,186.93
4/23/2014,187.82,187.92,187.3,187.45,73869000,186.56
4/22/2014,187.23,188.4,187.13,187.89,85790000,186.99
4/21/2014,186.44,187.1,186.21,187.04,68329000,186.15
4/17/2014,185.88,186.91,185.56,186.39,105255000,185.5
4/16/2014,185.47,186.14,184.65,186.13,105197000,185.24
4/15/2014,183.32,184.33,181.51,184.2,157093000,183.32
4/14/2014,182.93,183.37,181.44,182.94,132382000,182.07
4/11/2014,182.14,183.42,181.31,181.51,167251000,180.64
4/10/2014,187.08,187.17,182.93,183.16,172959000,182.29
4/9/2014,185.6,187.15,185.06,187.09,100254000,186.2
4/8/2014,184.26,185.4,183.59,185.1,112660000,184.22
4/7/2014,185.95,186.26,183.96,184.34,140803000,183.46
4/4/2014,189.66,189.7,186.1,186.4,169381000,185.51
4/3/2014,189.17,189.22,188.05,188.63,77435000,187.73
4/2/2014,188.49,189.13,188.14,188.88,78774000,187.98
4/1/2014,187.62,188.36,187,188.25,89193000,187.35
3/31/2014,186.67,187.3,185.52,187.01,99745000,186.12
3/28/2014,185.11,186.42,185,185.49,101642000,184.61
3/27/2014,184.75,185.34,183.9,184.58,142383000,183.7
3/26/2014,187.04,187.34,184.92,184.97,119843000,184.09
