Date,SPY,IWM
5/26/2000,106.03,38.04
5/30/2000,109.48,39.45
5/31/2000,109.72,39.59
6/1/2000,111.64,40.49
6/2/2000,113.59,42.59
6/5/2000,113.04,42.44
6/6/2000,112.53,42.85
6/7/2000,113.31,42.91
6/8/2000,112.87,42.8
6/9/2000,112.63,43.56
6/12/2000,111.31,42.26
6/13/2000,113.4,42.8
6/14/2000,113.59,42.59
6/15/2000,113.83,42.65
6/16/2000,112.89,42.41
6/19/2000,114.34,43.48
6/20/2000,113.93,43.76
6/21/2000,113.88,44
6/22/2000,112.15,42.67
6/23/2000,111.18,42.38
6/26/2000,112.62,42.91
6/27/2000,111.79,42.23
6/28/2000,112.1,43.3
6/29/2000,111.04,42.62
6/30/2000,111.88,43.03
7/3/2000,113.42,43.63
7/5/2000,111.38,43.14
7/6/2000,112.24,43.65
7/7/2000,114.05,43.92
7/10/2000,113.86,44.21
7/11/2000,114.1,44.15
7/12/2000,114.84,45.04
7/13/2000,115.35,45.18
7/14/2000,116.48,45.22
7/17/2000,116.29,45.38
7/18/2000,115.34,44.6
7/19/2000,114.41,43.82
7/20/2000,116,44.54
7/21/2000,113.74,43.32
7/24/2000,113.09,42.69
7/25/2000,113.45,42.78
7/26/2000,112.34,42.7
7/27/2000,111.95,41.53
7/28/2000,109.43,40.8
7/31/2000,110.13,41.84
8/1/2000,110.8,41.57
8/2/2000,111.35,41.63
8/3/2000,112.12,41.6
8/4/2000,112.72,41.81
8/7/2000,114.07,42.59
8/8/2000,114.51,42.38
8/9/2000,113.54,42.08
8/10/2000,112.99,41.84
8/11/2000,113.52,42.57
8/14/2000,114.96,43.01
8/15/2000,114.87,42.38
8/16/2000,114.46,42.59
8/17/2000,115.66,42.98
8/18/2000,115.28,42.92
8/21/2000,115.9,43.07
8/22/2000,115.71,43.01
8/23/2000,116.17,42.94
8/24/2000,116.53,43.58
8/25/2000,116.48,43.76
8/28/2000,116.88,43.84
8/29/2000,116.9,44.26
8/30/2000,115.78,44.31
8/31/2000,117.32,44.75
9/1/2000,117.44,45.12
9/5/2000,116.5,44.8
9/6/2000,115.18,44.61
9/7/2000,116.17,45.27
9/8/2000,115.37,44.49
9/11/2000,115.2,44.54
9/12/2000,114.36,44.4
9/13/2000,114.66,44.62
9/14/2000,115.24,44.88
9/15/2000,112.72,44.05
9/18/2000,111.68,43.01
9/19/2000,112.69,43.71
9/20/2000,111.86,43.36
9/21/2000,110.16,42.56
9/22/2000,112.16,43.1
9/25/2000,111.37,43.16
9/26/2000,109.94,42.54
9/27/2000,110.52,42.35
9/28/2000,111.95,43.49
9/29/2000,110.88,43.29
10/2/2000,111.05,42.58
10/3/2000,110.02,41.96
10/4/2000,110.93,42.25
10/5/2000,111.32,41.82
10/6/2000,108.91,40.81
10/9/2000,108.09,40.71
10/10/2000,106.3,39.74
10/11/2000,105.41,39.6
10/12/2000,102.78,38.4
10/13/2000,106.2,39.89
10/16/2000,106.69,40.21
10/17/2000,104.03,39.19
10/18/2000,103.65,38.87
10/19/2000,107.55,40.07
10/20/2000,108.01,40.58
10/23/2000,108.5,40.99
10/24/2000,107.77,40.39
10/25/2000,105.24,39.49
10/26/2000,105.53,40.1
10/27/2000,107.53,40.13
10/30/2000,108.5,40.31
10/31/2000,110.37,41.35
11/1/2000,109.99,41.38
11/2/2000,110.17,42.37
11/3/2000,110.23,42.32
11/6/2000,111,41.99
11/7/2000,110.98,42.35
11/8/2000,108.52,41.59
11/9/2000,108.11,41.15
11/10/2000,105.48,40.1
11/13/2000,104.66,39.7
11/14/2000,107.41,40.65
11/15/2000,107.75,41.17
11/16/2000,106.06,39.98
11/17/2000,105.49,40.23
11/20/2000,103.98,39.19
11/21/2000,104.52,38.96
11/22/2000,102.02,38.14
11/24/2000,104.1,39.21
11/27/2000,105.02,39.32
11/28/2000,103.21,38.14
11/29/2000,103.02,38.04
11/30/2000,102.13,37.23
12/1/2000,102.08,38.06
12/4/2000,102.95,37.65
12/5/2000,106.32,39.47
12/6/2000,104.62,38.56
12/7/2000,103.19,38.46
12/8/2000,103.43,38.98
12/11/2000,107.02,40.75
12/12/2000,106.57,39.87
12/13/2000,105.11,39.12
12/14/2000,103.77,38.5
12/15/2000,101.42,38.29
12/18/2000,102.78,38.87
12/19/2000,100.69,38.19
12/20/2000,97.77,36.98
12/21/2000,98.45,37.27
12/22/2000,101.4,38.82
12/26/2000,102.49,39.04
12/27/2000,103.24,40.07
12/28/2000,103.55,41.36
12/29/2000,101.59,40.18
1/2/2001,99.75,38.78
1/3/2001,104.55,40.38
1/4/2001,103.42,39.86
1/5/2001,100.04,38.63
1/8/2001,100.82,38.76
1/9/2001,100.55,38.7
1/10/2001,102.32,39.94
1/11/2001,102.42,40.49
1/12/2001,102.22,40.6
1/16/2001,102.88,41.41
1/17/2001,103.35,41.39
1/18/2001,104.38,41.54
1/19/2001,103.78,40.81
1/22/2001,104.47,41.1
1/23/2001,105.3,42.12
1/24/2001,105.61,41.96
1/25/2001,105.34,41.81
1/26/2001,105.22,41.81
1/29/2001,105.78,42.66
1/30/2001,106.71,42.93
1/31/2001,106.11,42.34
2/1/2001,106.81,42.65
2/2/2001,104.39,41.7
2/5/2001,105.16,41.78
2/6/2001,104.85,42.45
2/7/2001,104.31,42.55
